ambit,teleconnexio,variable,n,pearson_r,pearson_p,spearman_r,spearman_p,abs_pearson_r,abs_spearman_r,subregio,estacio,periode,pearson_q_fdr,spearman_q_fdr,significatiu_fdr_005
estacio_periode,nao,pressio_nivell_mar,120,0.6434437693078258,2.273402288075424e-15,0.6521072351317987,7.170192647031527e-16,0.6434437693078258,0.6521072351317987,,Winter,2011-2020,1.1462532544918105e-13,4.02066877403637e-14,True
subregio_periode,wemo,vent_u10,120,0.6413960908893993,2.9702585047858465e-15,0.6280358644851819,1.6197186497170244e-14,0.6413960908893993,0.6280358644851819,Llevant_Iberic,,2011-2020,1.4728554569186018e-13,8.166648654035417e-13,True
estacio_periode,wemo,vent_u10,120,0.6412668462351054,3.020605474356519e-15,0.6991072067713806,6.701139696240371e-19,0.6412668462351054,0.6991072067713806,,Spring,1981-1990,1.4855436759130422e-13,4.730216256169673e-17,True
subregio_estacio,wemo,vent_u10,120,0.6402648200620537,3.440099962352182e-15,0.6124748675600596,1.0566510104926675e-13,0.6402648200620537,0.6124748675600596,Llevant_Iberic,Winter,,1.6645644979123461e-13,4.876850817658465e-12,True
estacio_periode,wemo,vent_u10,120,0.638527655449814,4.305184349609807e-15,0.6603799818035346,2.2991560814656647e-16,0.638527655449814,0.6603799818035346,,Spring,2011-2020,2.0664884878127074e-13,1.3524447538033322e-14,True
subregio_periode,wemo,vent_u10,120,0.6378562424516226,4.693306983639697e-15,0.617795157102737,5.630113017105935e-14,0.6378562424516226,0.617795157102737,Catalunya_Balears,,1981-1990,2.234908087447475e-13,2.659895913593355e-12,True
subregio_periode,wemo,vent_u10,120,0.6340298385266623,7.644939899745709e-15,0.634803836595244,6.930273959087566e-15,0.6340298385266623,0.634803836595244,Golf_Lleo,,2011-2020,3.5835655780058013e-13,3.615795109089165e-13,True
subregio_estacio,wemo,velocitat_vent,120,0.6324892445417897,9.28662192769789e-15,0.6280818970934454,1.6105057455699837e-14,0.6324892445417897,0.6280818970934454,Mediterrani_Central_Occidental,Spring,,4.319359036138554e-13,8.166648654035417e-13,True
subregio_periode,nao,pressio_nivell_mar,120,0.6320328889697019,9.835422351779665e-15,0.5781369911453944,4.696393261266602e-12,0.6320328889697019,0.5781369911453944,Catalunya_Balears,,2011-2020,4.5394257008213843e-13,1.8785573045066406e-10,True
subregio_estacio,nao,pressio_nivell_mar,120,0.6297683865067897,1.3059229653280297e-14,0.6142539161261698,8.571888731095066e-14,0.6297683865067897,0.6142539161261698,Catalunya_Balears,Summer,,5.84741626266282e-13,4.018072842700812e-12,True
estacio,wemo,vent_u10,480,0.6289973290883599,3.104984582363566e-54,0.6499265806361911,5.970129449283787e-59,0.6289973290883599,0.6499265806361911,,Spring,,1.3307076781558142e-51,3.5820776695702725e-56,True
subregio,wemo,vent_u10,480,0.6237860599544658,4.0820345415794344e-53,0.61658374397803,1.3266927831459731e-51,0.6237860599544658,0.61658374397803,Golf_Lleo,,,1.632813816631774e-50,6.123197460673722e-49,True
subregio_periode,wemo,vent_u10,120,0.6222979186031666,3.273767854394108e-14,0.5927623657361365,9.855691276212943e-13,0.6222979186031666,0.5927623657361365,Golf_Lleo,,2001-2010,1.3930927039974927e-12,4.2378733863444636e-11,True
subregio,nao,pressio_nivell_mar,480,0.6192356221398387,3.721006756037684e-52,0.5949972312906857,2.678752923041249e-47,0.6192356221398387,0.5949972312906857,Golf_Lleo,,,1.3953775335141316e-49,1.0045323461404683e-44,True
subregio_estacio,nao,pressio_nivell_mar,120,0.618601574790337,5.112377490738151e-14,0.5745493944482651,6.807854683508795e-12,0.618601574790337,0.5745493944482651,Catalunya_Balears,Spring,,2.160159503128796e-12,2.6524109156527775e-10,True
subregio,wemo,vent_u10,480,0.6172224856574271,9.778413192616048e-52,0.594352935709963,3.5600282355261205e-47,0.6172224856574271,0.594352935709963,Catalunya_Balears,,,3.4512046562174294e-49,1.2564805537151015e-44,True
periode,nao,pressio_nivell_mar,480,0.614791835586966,3.110778703001631e-51,0.5586023554243525,9.795798423974626e-41,0.614791835586966,0.5586023554243525,,,2011-2020,1.036926234333877e-48,2.798799549707036e-38,True
estacio_periode,wemo,velocitat_vent,120,0.6143027279076991,8.522670163819357e-14,0.6040510843542485,2.7957566709000576e-13,0.6143027279076991,0.6040510843542485,,Winter,1981-1990,3.5511125682580657e-12,1.2425585204000255e-11,True
estacio,wemo,vent_u10,480,0.607270751482093,1.0486928767463792e-49,0.5854887510318203,1.6708591638029268e-45,0.607270751482093,0.5854887510318203,,Autumn,,3.311661716041198e-47,5.569530546009756e-43,True
subregio_periode,wemo,vent_u10,120,0.6059760691414996,2.2440424220882303e-13,0.6027343512953659,3.2466363995357873e-13,0.6059760691414996,0.6027343512953659,Golf_Lleo,,1981-1990,8.916724855979724e-12,1.4218845545412206e-11,True
subregio_periode,nao,pressio_nivell_mar,120,0.6028528095311027,3.203347886333234e-13,0.5382238042307925,2.297530532494533e-10,0.6028528095311027,0.5382238042307925,Mediterrani_Central_Occidental,,2011-2020,1.2644794288157504e-11,7.532886991785354e-09,True
estacio_periode,nao,pressio_nivell_mar,120,0.601563815824609,3.7060293311306735e-13,0.39705883111489687,7.120949163088013e-06,0.601563815824609,0.39705883111489687,,Spring,2011-2020,1.4533448357375188e-11,9.349167391362818e-05,True
estacio,nao,pressio_nivell_mar,480,0.6001943847061241,2.638059907721802e-48,0.548628977469769,4.483488815809663e-39,0.6001943847061241,0.548628977469769,,Spring,,7.914179723165406e-46,1.076037315794319e-36,True
subregio_periode,nao,pressio_nivell_mar,120,0.5981188440153354,5.4539750158356e-13,0.5261567845224018,6.757155612770245e-10,0.5981188440153354,0.5261567845224018,Llevant_Iberic,,2001-2010,2.124925330845039e-11,1.9971888510650967e-08,True
estacio,nao,pressio_nivell_mar,480,0.5970169448341054,1.0937336195583012e-47,0.5848114218716823,2.2312798087559963e-45,0.5970169448341054,0.5848114218716823,,Summer,,3.1249531987380034e-45,7.04614676449262e-43,True
subregio_estacio,wemo,vent_u10,120,0.5910889966554037,1.1830381160805245e-12,0.6285205309513118,1.5252323337440796e-14,0.5910889966554037,0.6285205309513118,Llevant_Iberic,Summer,,4.550146600309709e-11,7.821704275610664e-13,True
subregio_estacio,nao,pressio_nivell_mar,120,0.589498636650692,1.4059013631434083e-12,0.582962210611336,2.8299536177727644e-12,0.589498636650692,0.582962210611336,Mediterrani_Central_Occidental,Summer,,5.305288162805314e-11,1.1791473407386518e-10,True
subregio_periode,nao,pressio_nivell_mar,120,0.5874533967673262,1.752877631643832e-12,0.4945776543848178,9.386452066336036e-09,0.5874533967673262,0.4945776543848178,Catalunya_Balears,,2001-2010,6.41296694503841e-11,2.2527484959206485e-07,True
subregio_estacio,wemo,velocitat_vent,120,0.5853117673734675,2.2046902458097915e-12,0.5674901859079444,1.3952494846494693e-11,0.5853117673734675,0.5674901859079444,Mediterrani_Central_Occidental,Autumn,,7.921042799316616e-11,5.265092394903658e-10,True
subregio_estacio,nao,pressio_nivell_mar,120,0.582616324332769,2.9354100790009975e-12,0.5310280287559614,4.39394781938679e-10,0.582616324332769,0.5310280287559614,Golf_Lleo,Spring,,1.0421574244973955e-10,1.3382582191025756e-08,True
