data,any,mes,dies_mes,estacio,periode,subregio,nao,wemo,roni,fase_nao,fase_wemo,fase_enso,temperatura_mitjana,precipitacio_mm_dia,precipitacio_mensual_mm,humitat_sol_capa1,humitat_sol_capa2,evaporacio_potencial,temperatura_superficie_mar,pressio_nivell_mar,vent_u10,vent_v10,velocitat_vent,anomalia_temperatura,anomalia_precipitacio_mm_dia,anomalia_precipitacio_mensual_mm,anomalia_humitat_sol_capa1,anomalia_sst,mes_molt_calid,mes_molt_fred,mes_molt_sec,mes_molt_humit,sol_molt_sec,sol_molt_humit,episodi_calid_i_sec,episodi_fred_i_humit,episodi_calid_i_sol_sec
1984-10-01,1984,10,31,Autumn,1981-1990,Llevant_Iberic,1.66,1.19,-0.5,Positive,Positive,La Nina,16.904623,0.6115927,18.959374010562897,0.16515654,0.16845955,-0.0046222294,20.631182,1019.882,0.42388555,-0.44251174,0.612777,-1.3748188,-0.9521156,-29.515582762658596,-0.059733838,-1.01824,False,True,False,False,True,False,False,False,False
1984-11-01,1984,11,30,Autumn,1981-1990,Llevant_Iberic,-1.16,-0.99,-0.8,Negative,Negative,La Nina,14.334054,3.0456252,91.36875629425049,0.3187007,0.29361853,-0.0026225483,18.380241,1012.64636,2.3209538,0.68204284,2.4190927,0.30251122,1.2947863,38.84358821064234,0.057486236,-0.30722046,False,False,False,True,False,True,False,False,False
1984-12-01,1984,12,31,Winter,1981-1990,Llevant_Iberic,1.52,-0.36,-1.0,Positive,Neutral,La Nina,10.916123,0.5022898,15.570982933044434,0.29163042,0.29002354,-0.0019265915,16.318024,1022.62024,0.3937675,-1.1056644,1.1736892,-0.42648792,-0.7195933,-22.30739359688014,0.012433916,0.043437958,False,False,False,False,False,False,False,False,False
1985-01-01,1985,1,31,Winter,1981-1990,Llevant_Iberic,-2.87,0.32,-0.8,Negative,Neutral,La Nina,8.255472,1.077944,33.41626524925232,0.29558372,0.28885278,-0.002076116,14.349743,1015.09076,2.0738347,-0.45796555,2.123799,-2.095767,-0.16859436,-5.226423327485101,0.021383196,-0.637516,False,True,False,False,False,True,False,False,False
1985-02-01,1985,2,28,Winter,1981-1990,Llevant_Iberic,-0.24,-0.6,-0.6,Neutral,Negative,La Nina,11.695056,1.4106714,39.49879789352417,0.28699958,0.28335527,-0.0030337295,14.329517,1019.1561,0.88706946,-0.022591969,0.8873571,0.8988209,0.25034332,6.785412263497712,0.022028714,-0.1294918,False,False,False,False,False,True,False,False,False
1985-03-01,1985,3,31,Spring,1981-1990,Llevant_Iberic,0.07,1.14,-0.6,Neutral,Positive,La Nina,11.1762085,0.93940115,29.12143564224243,0.2545749,0.2750019,-0.005232707,14.493983,1016.9732,1.738702,-0.55599225,1.8254348,-1.3669405,-0.21687663,-6.723174320906402,0.0109434575,-0.3626051,False,True,False,False,False,False,False,False,False
1985-04-01,1985,4,30,Spring,1981-1990,Llevant_Iberic,0.34,0.38,-0.7,Neutral,Neutral,La Nina,14.563061,0.92039615,27.611884474754333,0.17544936,0.20636609,-0.0067513655,15.915821,1015.08466,0.620347,0.35522655,0.71485406,0.2292366,-0.42471904,-12.741571851074696,-0.059681877,-0.051668167,False,False,False,False,True,False,False,False,False
1985-05-01,1985,5,31,Spring,1981-1990,Llevant_Iberic,-2.13,-0.26,-0.7,Negative,Neutral,La Nina,15.397886,1.9569397,60.665130615234375,0.26144537,0.23907134,-0.0062144888,17.268848,1012.5137,0.41893184,-0.36600408,0.55629385,-1.9243202,0.8177043,25.348833918571472,0.047654837,-0.8600769,False,True,False,False,False,True,False,False,False
1985-06-01,1985,6,30,Summer,1981-1990,Llevant_Iberic,-1.08,-0.67,-0.5,Negative,Negative,La Nina,20.93769,0.4148985,12.446955442428589,0.17594332,0.21017173,-0.00795209,21.045103,1015.3318,-0.7518389,-0.09396362,0.7576879,-0.30818748,-0.1937499,-5.812496703118086,0.0018888861,-0.21931458,False,False,False,False,False,False,False,False,False
1985-07-01,1985,7,31,Summer,1981-1990,Llevant_Iberic,1.09,-3.04,-0.4,Positive,Negative,Neutral,24.080029,0.23180218,7.185867592692375,0.13643406,0.17194147,-0.009360365,24.080784,1016.06146,-1.0168937,-0.142873,1.0268815,-0.10259247,-0.026283756,-0.8147967562079437,-0.0021155477,-0.07649994,False,False,False,False,False,False,False,False,False
1985-08-01,1985,8,31,Summer,1981-1990,Llevant_Iberic,2.33,-0.48,-0.3,Positive,Neutral,Neutral,23.730907,0.23494154,7.283187806606293,0.13420835,0.16360225,-0.008276687,24.899893,1016.5139,-1.2526909,-0.04139173,1.2533746,-0.8848896,-0.31898332,-9.888482416421176,-0.013973579,-0.5984783,False,False,False,False,False,False,False,False,False
1985-09-01,1985,9,30,Autumn,1981-1990,Llevant_Iberic,0.0,-0.7,-0.2,Neutral,Negative,Neutral,22.282433,0.79662377,23.898712992668152,0.15195225,0.16135742,-0.005996493,24.409304,1019.0006,-1.9629242,-0.8796237,2.151002,0.31664085,-0.5009647,-15.028940331190825,-0.035018235,0.13387299,False,False,False,False,True,False,False,False,False
1985-10-01,1985,10,31,Autumn,1981-1990,Llevant_Iberic,0.14,-0.91,-0.2,Neutral,Negative,Neutral,18.8196,1.6350541,50.6866774559021,0.18869984,0.18623261,-0.0041066245,22.92261,1019.8324,-1.2682174,-0.8751255,1.5408504,0.5401573,0.071345806,2.211720682680607,-0.03619054,1.2731876,False,False,False,False,True,False,False,False,False
