ambit,teleconnexio,fase_a,fase_b,variable_booleana,n_a,n_b,events_a,events_b,rate_a_pct,rate_b_pct,diff_el_nino_minus_la_nina_pct,chi2_p,abs_diff_pct,subregio,estacio,periode,q_fdr
estacio,roni,La Nina,El Nino,episodi_calid_i_sec,184,160,3,10,1.6304347826086956,6.25,4.619565217391304,0.05026790056265348,4.619565217391304,,Winter,,0.925029678159054
subregio_estacio,roni,La Nina,El Nino,mes_molt_fred,46,40,9,6,19.565217391304348,15.0,-4.5652173913043494,0.7859201726994091,4.5652173913043494,Llevant_Iberic,Winter,,1.0
subregio_estacio,roni,La Nina,El Nino,mes_molt_fred,34,30,3,4,8.823529411764707,13.333333333333334,4.5098039215686265,0.8606377503432366,4.5098039215686265,Catalunya_Balears,Spring,,1.0
subregio_estacio,roni,La Nina,El Nino,mes_molt_fred,34,30,3,4,8.823529411764707,13.333333333333334,4.5098039215686265,0.8606377503432366,4.5098039215686265,Mediterrani_Central_Occidental,Spring,,1.0
subregio_periode,roni,La Nina,El Nino,mes_molt_humit,30,34,4,3,13.333333333333334,8.823529411764707,-4.5098039215686265,0.8606377503432366,4.5098039215686265,Llevant_Iberic,,1981-1990,1.0
subregio_periode,roni,La Nina,El Nino,mes_molt_humit,30,34,4,3,13.333333333333334,8.823529411764707,-4.5098039215686265,0.8606377503432366,4.5098039215686265,Catalunya_Balears,,1981-1990,1.0
subregio_periode,roni,La Nina,El Nino,mes_molt_calid,30,34,4,3,13.333333333333334,8.823529411764707,-4.5098039215686265,0.8606377503432366,4.5098039215686265,Golf_Lleo,,1981-1990,1.0
periode,roni,La Nina,El Nino,episodi_calid_i_sec,140,116,1,6,0.7142857142857143,5.172413793103448,4.458128078817734,0.07307578484693279,4.458128078817734,,,2001-2010,1.0
subregio_periode,roni,La Nina,El Nino,mes_molt_fred,45,24,2,0,4.444444444444445,0.0,-4.444444444444445,0.7681640081399215,4.444444444444445,Llevant_Iberic,,2011-2020,1.0
subregio_periode,roni,La Nina,El Nino,mes_molt_fred,45,24,2,0,4.444444444444445,0.0,-4.444444444444445,0.7681640081399215,4.444444444444445,Mediterrani_Central_Occidental,,2011-2020,1.0
subregio_estacio,roni,La Nina,El Nino,mes_molt_fred,39,37,7,5,17.94871794871795,13.513513513513514,-4.435204435204435,0.8295247958033755,4.435204435204435,Llevant_Iberic,Autumn,,1.0
subregio_periode,roni,La Nina,El Nino,episodi_calid_i_sol_sec,36,51,3,2,8.333333333333332,3.9215686274509802,-4.411764705882352,0.6868406363858385,4.411764705882352,Llevant_Iberic,,1991-2000,1.0
estacio,roni,La Nina,El Nino,sol_molt_sec,108,124,18,26,16.666666666666664,20.967741935483872,4.301075268817206,0.5056074949778286,4.301075268817206,,Summer,,1.0
periode,roni,La Nina,El Nino,sol_molt_humit,140,116,47,34,33.57142857142857,29.310344827586203,-4.261083743842365,0.5520013565830202,4.261083743842365,,,2001-2010,1.0
subregio_periode,roni,La Nina,El Nino,episodi_fred_i_humit,36,51,2,5,5.555555555555555,9.803921568627452,4.248366013071895,0.7509725717553388,4.248366013071895,Golf_Lleo,,1991-2000,1.0
estacio,roni,La Nina,El Nino,mes_molt_fred,136,120,17,20,12.5,16.666666666666664,4.166666666666666,0.4424715899701689,4.166666666666666,,Spring,,1.0
subregio_periode,roni,La Nina,El Nino,episodi_calid_i_sec,45,24,0,1,0.0,4.166666666666666,4.166666666666666,0.7475697039056335,4.166666666666666,Llevant_Iberic,,2011-2020,1.0
global,roni,La Nina,El Nino,sol_molt_humit,584,552,166,134,28.424657534246577,24.27536231884058,-4.149295215405998,0.1289624290331102,4.149295215405998,,,,1.0
subregio_periode,roni,La Nina,El Nino,mes_molt_humit,30,34,3,2,10.0,5.88235294117647,-4.11764705882353,0.884047104878432,4.11764705882353,Mediterrani_Central_Occidental,,1981-1990,1.0
