ambit,teleconnexio,variable_booleana,n,n_events,event_rate_pct,pointbiserial_r,p_value,abs_r,subregio,estacio,periode,q_fdr
subregio_periode,roni,mes_molt_fred,120,13,10.833333333333334,-0.1036463213294091,0.25993633934254184,0.1036463213294091,Mediterrani_Central_Occidental,,2001-2010,0.7903978012247348
subregio_periode,roni,sol_molt_sec,120,35,29.166666666666668,0.10360975836936528,0.26010539887242545,0.10360975836936528,Catalunya_Balears,,2001-2010,0.7903978012247348
subregio_estacio,roni,mes_molt_calid,120,13,10.833333333333334,-0.10298507974679783,0.2630053926846014,0.10298507974679783,Catalunya_Balears,Spring,,0.7930624148643365
estacio,roni,episodi_calid_i_sol_sec,480,24,5.0,0.10202894342629688,0.025394367610188998,0.10202894342629688,,Winter,,0.39509735236613647
subregio_periode,roni,episodi_fred_i_humit,120,6,5.0,-0.10170465756250377,0.26901825173445276,0.10170465756250377,Mediterrani_Central_Occidental,,1981-1990,0.7968196487210121
subregio_periode,roni,episodi_calid_i_sol_sec,120,17,14.166666666666666,0.10136299608867713,0.27063831519677395,0.10136299608867713,Golf_Lleo,,2011-2020,0.7968196487210121
subregio_periode,roni,sol_molt_humit,120,35,29.166666666666668,-0.10099675895681012,0.2723822268587133,0.10099675895681012,Golf_Lleo,,1991-2000,0.7968196487210121
estacio,roni,episodi_calid_i_sec,480,23,4.791666666666667,0.10095377465019481,0.02698929533555989,0.10095377465019481,,Winter,,0.39509735236613647
subregio,roni,episodi_calid_i_sec,480,7,1.4583333333333333,0.100160123598762,0.02822123945472403,0.100160123598762,Llevant_Iberic,,,0.39509735236613647
subregio_periode,roni,episodi_fred_i_humit,120,1,0.8333333333333334,-0.09946568110532926,0.2797548545545733,0.09946568110532926,Catalunya_Balears,,2011-2020,0.8034594894147192
subregio_estacio,roni,mes_molt_calid,120,24,20.0,0.0992506555982978,0.28080089298422584,0.0992506555982978,Llevant_Iberic,Winter,,0.8034594894147192
subregio_estacio,roni,sol_molt_humit,120,20,16.666666666666664,-0.09854326423058539,0.28426063411599467,0.09854326423058539,Llevant_Iberic,Summer,,0.8074649896628254
subregio_periode,roni,episodi_calid_i_sol_sec,120,5,4.166666666666666,-0.09685004251525196,0.292657168502028,0.09685004251525196,Llevant_Iberic,,1991-2000,0.8102221447032975
