ambit,teleconnexio,fase_a,fase_b,variable_booleana,n_a,n_b,events_a,events_b,rate_a_pct,rate_b_pct,diff_b_minus_a_pct,chi2_p,abs_diff_pct,subregio,estacio,periode,chi2_q_fdr
subregio_periode,wemo,Negative,Positive,sol_molt_humit,35,38,17,11,48.57142857142857,28.947368421052634,-19.62406015037594,0.1384143233076604,19.62406015037594,Llevant_Iberic,,1981-1990,0.4450670506356815
subregio_estacio,wemo,Negative,Positive,sol_molt_humit,48,34,9,13,18.75,38.23529411764706,19.485294117647058,0.087452706387729,19.485294117647058,Golf_Lleo,Spring,,0.3315796424603145
subregio_periode,wemo,Negative,Positive,sol_molt_humit,59,31,21,5,35.59322033898305,16.129032258064516,-19.464188080918536,0.09079626155608565,19.464188080918536,Llevant_Iberic,,2011-2020,0.33680701388733675
estacio,roni,La Nina,El Nino,mes_molt_fred,108,124,6,31,5.555555555555555,25.0,19.444444444444446,0.000115607502189205,19.444444444444446,,Summer,,0.0026385712264359725
subregio_periode,roni,La Nina,El Nino,sol_molt_sec,45,24,10,10,22.22222222222222,41.66666666666667,19.444444444444446,0.15647634506756095,19.444444444444446,Mediterrani_Central_Occidental,,2011-2020,0.46760419608476766
subregio_estacio,roni,La Nina,El Nino,mes_molt_calid,34,30,10,3,29.411764705882355,10.0,-19.411764705882355,0.10633590370615272,19.411764705882355,Golf_Lleo,Spring,,0.3728162407047041
subregio_periode,roni,La Nina,El Nino,sol_molt_humit,35,29,14,6,40.0,20.689655172413794,-19.31034482758621,0.16506891488970388,19.31034482758621,Catalunya_Balears,,2001-2010,0.47712136173454084
subregio_estacio,nao,Negative,Positive,sol_molt_humit,40,52,20,16,50.0,30.76923076923077,-19.23076923076923,0.09728994515435885,19.23076923076923,Llevant_Iberic,Spring,,0.3537089745309266
subregio_periode,nao,Negative,Positive,mes_molt_sec,44,53,4,15,9.090909090909092,28.30188679245283,19.210977701543737,0.034303960123883585,19.210977701543737,Golf_Lleo,,1991-2000,0.182217011560466
subregio,nao,Negative,Positive,sol_molt_sec,191,197,40,79,20.94240837696335,40.10152284263959,19.15911446567624,6.8488588441597e-05,19.15911446567624,Llevant_Iberic,,,0.0018981123082385456
estacio,nao,Negative,Positive,mes_molt_fred,112,276,35,34,31.25,12.318840579710146,-18.931159420289855,1.9318016783735687e-05,18.931159420289855,,Winter,,0.0007753852253885634
subregio_estacio,roni,La Nina,El Nino,mes_molt_humit,27,31,1,7,3.7037037037037033,22.58064516129032,18.876941457586618,0.08952746821075008,18.876941457586618,Golf_Lleo,Summer,,0.33680701388733675
subregio_periode,wemo,Negative,Positive,mes_molt_humit,59,31,6,9,10.16949152542373,29.03225806451613,18.8627665390924,0.047246812261987466,18.8627665390924,Mediterrani_Central_Occidental,,2011-2020,0.21910473893606935
subregio_estacio,nao,Negative,Positive,mes_molt_sec,28,69,0,13,0.0,18.84057971014493,18.84057971014493,0.03241191421963885,18.84057971014493,Catalunya_Balears,Winter,,0.17629658014794217
subregio_periode,wemo,Negative,Positive,sol_molt_sec,46,29,15,4,32.608695652173914,13.793103448275861,-18.815592203898053,0.12067242880975732,18.815592203898053,Mediterrani_Central_Occidental,,2001-2010,0.40479166321198135
subregio_periode,wemo,Negative,Positive,mes_molt_humit,59,31,8,10,13.559322033898304,32.25806451612903,18.698742482230728,0.06723906349241784,18.698742482230728,Golf_Lleo,,2011-2020,0.2787871658959775
subregio_estacio,roni,La Nina,El Nino,sol_molt_humit,34,30,12,5,35.294117647058826,16.666666666666664,-18.62745098039216,0.1614693376740825,18.62745098039216,Mediterrani_Central_Occidental,Spring,,0.4739559053997121
estacio,roni,La Nina,El Nino,mes_molt_humit,136,120,31,5,22.794117647058822,4.166666666666666,-18.627450980392158,4.1645120247773014e-05,18.627450980392158,,Spring,,0.0013465255546779942
estacio,nao,Negative,Positive,mes_molt_humit,112,276,31,25,27.67857142857143,9.057971014492754,-18.620600414078677,4.876252992241418e-06,18.620600414078677,,Winter,,0.00025852124279982327
subregio_periode,nao,Negative,Positive,mes_molt_calid,40,57,8,22,20.0,38.59649122807017,18.59649122807017,0.08406912605347161,18.59649122807017,Catalunya_Balears,,2011-2020,0.32510452732970413
subregio_estacio,wemo,Negative,Positive,mes_molt_fred,43,34,6,11,13.953488372093023,32.35294117647059,18.399452804377567,0.09765836460999636,18.399452804377567,Golf_Lleo,Summer,,0.3537089745309266
subregio_periode,roni,La Nina,El Nino,mes_molt_fred,30,34,9,4,30.0,11.76470588235294,-18.235294117647058,0.13409557399658012,18.235294117647058,Llevant_Iberic,,1981-1990,0.4323746485651503
