ambit,teleconnexio,variable,n,pearson_r,pearson_p,spearman_r,spearman_p,abs_pearson_r,abs_spearman_r,subregio,estacio,periode,pearson_q_fdr,spearman_q_fdr
subregio_estacio_periode,nao,precipitacio_mensual_mm,30,-0.7447197927807782,2.365446914577235e-06,-0.649833147942158,0.00010177739046409327,0.7447197927807782,0.649833147942158,Golf_Lleo,Winter,1991-2000,3.3792098779674786e-05,0.0009801995871341245
subregio_estacio_periode,nao,pressio_nivell_mar,30,0.7421860597131064,2.6696064324718468e-06,0.7522527580201316,1.637143819614795e-06,0.7421860597131064,0.7522527580201316,Mediterrani_Central_Occidental,Autumn,1991-2000,3.786675790740208e-05,2.5740331109272346e-05
subregio_estacio,wemo,vent_u10,120,0.7388772737945083,5.797605883002657e-22,0.7577333910387148,1.2837045155251553e-23,0.7388772737945083,0.7577333910387148,Catalunya_Balears,Spring,,5.521529412383482e-20,1.426338350583506e-21
estacio_periode,wemo,vent_u10,120,0.7387062986506604,5.992369599586828e-22,0.7116145912999505,8.29374290903036e-20,0.7387062986506604,0.7116145912999505,,Winter,1981-1990,5.617846499612652e-20,6.379802237715662e-18
subregio_estacio,wemo,vent_u10,120,0.7350615930299127,1.2046396876848487e-21,0.7255579114288,7.057388694192061e-21,0.7350615930299127,0.7255579114288,Golf_Lleo,Autumn,,1.0787818098670287e-19,6.227107671345937e-19
subregio_periode,nao,pressio_nivell_mar,120,0.7344841162747295,1.3441516944594836e-21,0.7626399422909763,4.496729464788053e-24,0.7344841162747295,0.7626399422909763,Catalunya_Balears,,1991-2000,1.186016200993662e-19,5.620911830985066e-22
subregio_estacio_periode,wemo,vent_u10,30,0.7342062189583919,3.873070093026671e-06,0.7286683769641913,4.976361317630179e-06,0.7342062189583919,0.7286683769641913,Golf_Lleo,Autumn,1981-1990,5.379264018092598e-05,6.848203648114925e-05
estacio_periode,wemo,vent_u10,120,0.7331750389311436,1.7213714692423667e-21,0.7550847010836916,2.238315469318031e-23,0.7331750389311436,0.7550847010836916,,Spring,2001-2010,1.4968447558629276e-19,2.4417986938014885e-21
subregio_estacio_periode,nao,precipitacio_mm_dia,30,-0.7326383864935169,4.1604628624264535e-06,-0.6471635150166852,0.00011105413420443147,0.7326383864935169,0.6471635150166852,Golf_Lleo,Winter,1991-2000,5.7517919757047744e-05,0.0010566042405482235
subregio_estacio_periode,wemo,vent_u10,30,0.7324424892645137,4.197694421881811e-06,0.7339265850945496,3.922974663677363e-06,0.7324424892645137,0.7339265850945496,Golf_Lleo,Spring,1981-1990,5.7899233405266356e-05,5.512376576595827e-05
