tipus_resultat,descripcio,forca,p_valor,q_fdr
diferencia_fases,WEMO Negative vs Positive · Anomalia temperatura · subregio_estacio,1.289807929802572,2.52969710689554e-06,2.6144238042556775e-05
diferencia_fases,WEMO Negative vs Positive · Anomalia SST · subregio_estacio,1.2875688944266048,2.6532001667625374e-06,2.7216604098501052e-05
diferencia_fases,WEMO Negative vs Positive · Vent V10 · subregio_estacio,1.3405408332533477,3.4535502264215657e-06,3.437635248419623e-05
diferencia_booleanes,NAO Negative vs Positive · sol_molt_sec · estacio,0.23149585921325055,4.954438087936718e-06,0.00025852124279982327
diferencia_booleanes,NAO Negative vs Positive · sol_molt_humit · periode,0.21296296296296297,5.108237615460425e-06,0.00025852124279982327
diferencia_fases,WEMO Negative vs Positive · Vent U10 · subregio_periode,1.2713016332856513,4.2016264251160876e-05,0.00031732563210666955
diferencia_booleanes,NAO Negative vs Positive · mes_molt_sec · subregio_estacio,0.45833333333333337,1.4008033945076822e-05,0.0006079354954195884
diferencia_booleanes,NAO Negative vs Positive · sol_molt_sec · estacio,0.2178030303030303,1.4623877896691127e-05,0.0006079354954195884
diferencia_booleanes,WEMO Negative vs Positive · sol_molt_humit · subregio_estacio,0.4629156010230179,3.6503364212961954e-05,0.0012139975983967918
diferencia_booleanes,WEMO Negative vs Positive · sol_molt_sec · subregio,0.21379310344827585,6.077647008564388e-05,0.0017685952794922368
diferencia_booleanes,WEMO Negative vs Positive · sol_molt_humit · subregio,0.21379310344827587,6.396891797614712e-05,0.0018160931835179328
diferencia_booleanes,NAO Negative vs Positive · sol_molt_sec · subregio_periode,0.3880789022298457,0.00019328889613794451,0.004090695910992135
diferencia_booleanes,NAO Negative vs Positive · mes_molt_humit · subregio_periode,0.3336192109777016,0.0002495414198747072,0.004923156148036597
diferencia_booleanes,NAO Negative vs Positive · mes_molt_sec · subregio_estacio,0.29829545454545453,0.00026270668366924776,0.0050965096631834066
diferencia_booleanes,NAO Negative vs Positive · sol_molt_humit · subregio_estacio,0.3596153846153845,0.0003093039205202964,0.005806931669122985
diferencia_booleanes,NAO Negative vs Positive · episodi_calid_i_sec · subregio_estacio,0.21875,0.0004236476719543697,0.007827395081823592
diferencia_booleanes,WEMO Negative vs Positive · mes_molt_sec · subregio_periode,0.3695652173913043,0.0005826648598860355,0.01012271487921411
diferencia_booleanes,NAO Negative vs Positive · mes_molt_humit · subregio_periode,0.22727272727272727,0.0008705179959581362,0.013966564427813062
diferencia_booleanes,WEMO Negative vs Positive · mes_molt_fred · subregio_estacio,0.309462915601023,0.0009548780219685761,0.014491549736350078
diferencia_booleanes,WEMO Negative vs Positive · mes_molt_fred · subregio_estacio,0.3370098039215686,0.001195022487182638,0.017172915741735687
diferencia_booleanes,NAO Negative vs Positive · mes_molt_humit · subregio_estacio,0.28467908902691513,0.0013550406935034468,0.018666516656426723
diferencia_booleanes,WEMO Negative vs Positive · episodi_fred_i_humit · subregio_estacio,0.2352941176470588,0.0015779659072386917,0.021112095586503878
diferencia_booleanes,NAO Negative vs Positive · mes_molt_sec · subregio_periode,0.2732456140350877,0.0016758048710630896,0.022166328067243595
