WeMOi monthly data (1821-2019)												
												
-999 missing value												
												
Moderate reliable values: 1821-1869. Jul1873-Aug1873. May1874. 1921. Jul1924. Apr1927. 1933-1943. Jun1989-Dec1994. Mar2002. Jun2006-Jul2006. Jun2011-Dec2011.												
                                                                                												
MARTIN-VIDE J. LOPEZ-BUSTINS JA. 2006. The Western Mediterranean Oscillation and Iberian Peninsula Rainfall. International Journal of Climatology 26: 1455-1475.												
												
												
												
	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
1990	-0,38	1,23	-0,32	1,20	-0,49	1,47	-0,64	-1,07	-0,27	-0,11	0,77	-0,10
1991	-0,74	-0,45	-1,99	1,81	1,76	1,15	1,48	-1,24	-0,18	-0,15	1,30	-0,58
1992	-1,21	-0,23	1,13	1,89	-0,61	1,42	-0,81	1,20	0,75	1,88	2,28	-0,67
1993	-0,19	-1,18	-0,99	0,65	-0,72	1,23	0,11	-0,38	1,00	-0,47	-0,84	2,06
1994	0,91	0,31	0,37	3,19	0,67	-0,04	-0,41	0,75	0,07	-0,96	0,06	0,45
1995	1,48	1,14	0,37	-0,39	0,63	-0,53	-0,59	-0,10	1,91	-0,71	-0,59	-0,63
1996	-2,25	0,61	-1,72	-0,47	0,63	-0,38	0,56	1,45	1,11	1,35	1,71	-1,43
1997	-1,88	0,55	-0,40	-1,09	-0,11	0,68	1,27	0,37	-1,58	-0,11	0,07	0,17
1998	-0,51	-1,21	-0,13	1,95	-1,37	-0,15	0,99	-0,45	0,06	2,51	0,59	-0,85
1999	-0,49	1,08	-0,55	1,20	0,33	0,68	0,17	0,02	0,25	0,04	-0,26	1,52
2000	-0,65	0,70	0,30	0,10	-0,10	0,20	1,99	0,30	0,68	1,00	1,45	-0,21
2001	0,10	0,32	0,91	2,42	0,15	0,84	1,22	0,72	0,49	-0,38	-0,35	-1,03
2002	-0,70	0,84	-0,80	-0,41	0,45	0,26	0,70	1,31	0,10	1,13	1,18	0,11
2003	1,22	-0,76	-1,72	-1,82	-0,03	-0,77	1,60	0,91	0,82	-0,17	-1,27	-0,39
2004	1,17	-0,65	-0,77	-0,75	-0,49	-0,31	-0,40	0,97	0,08	-0,17	0,04	-0,34
2005	0,31	-0,04	-1,07	-0,70	-0,85	-2,27	0,10	-0,84	-0,38	-2,18	-1,25	-0,08
2006	-1,55	-0,02	0,86	-1,41	-1,49	-3,18	-2,03	1,55	-0,39	-1,03	-0,61	-0,66
2007	0,44	0,72	1,08	-2,95	1,48	0,01	0,30	-0,96	-0,63	-1,22	-0,62	-0,56
2008	-0,30	-2,09	1,81	0,03	-2,42	-1,06	0,68	-0,06	-1,63	-0,51	0,12	-0,17
2009	0,23	-0,29	-0,51	0,63	-1,00	0,87	1,11	-1,59	-1,26	-0,36	0,92	0,12
2010	-0,19	-0,70	-0,96	-2,40	0,97	-0,07	-1,65	-0,36	-0,46	-0,91	1,24	-0,31
2011	-0,91	0,72	-2,14	-3,08	-1,48	-0,88	-0,03	-0,97	-0,28	-0,95	-2,62	1,58
2012	0,48	0,38	-0,42	1,28	-0,41	-0,03	-0,16	-0,58	-1,53	-0,85	-0,98	1,06
2013	1,58	1,06	-0,81	-0,98	1,90	-0,37	-2,27	-1,93	0,03	-0,64	1,17	-0,49
2014	0,41	0,94	0,13	-0,05	-1,13	-0,89	0,18	-0,14	-1,56	-0,87	-2,18	0,60
2015	1,04	0,75	-0,53	-1,15	0,11	-1,73	-1,18	-1,20	-0,71	-1,20	0,85	-1,19
2016	0,94	1,37	0,69	-0,63	-0,82	-0,21	-1,68	-2,34	0,02	-1,80	-0,96	-1,54
2017	-0,50	-0,74	-0,01	-1,15	-1,86	-1,34	-1,27	-1,89	0,74	0,82	0,65	1,48
2018	0,62	-0,31	0,83	-1,72	-0,14	0,42	1,79	-1,09	-0,64	-1,64	-1,12	0,69
2019	1,32	-0,08	0,36	-0,87	-0,12	-1,06	-0,39	-0,93	-0,56	0,27	2,36	0,50
2020	-0,52	1,18	-0,60	-1,78	-1,19	1,42	-2,54	0,17	0,09	1,78	-1,91	1,13
