Data,Any,Mes,Estació,Subregió,Període,NAO,Fase NAO,Anomalia precipitació mensual (mm),Precipitació mensual (mm),Es hivern
1994-05,1994,5,Primavera,Catalunya-Balears,1991-2000,-1.43,Negativa,-24.61201313659549,20.05560725927353,False
1995-04,1995,4,Primavera,Catalunya-Balears,1991-2000,-1.81,Negativa,-20.76472529768944,29.394564628601078,False
1996-03,1996,3,Primavera,Catalunya-Balears,1991-2000,-2.57,Negativa,11.445816123858094,54.24976348876953,False
1996-05,1996,5,Primavera,Catalunya-Balears,1991-2000,-1.5,Negativa,-10.624592994898556,34.04302740097046,False
1997-04,1997,4,Primavera,Catalunya-Balears,1991-2000,-0.97,Negativa,-22.18413242697716,27.975157499313354,False
1997-05,1997,5,Primavera,Catalunya-Balears,1991-2000,-1.35,Negativa,-18.16435853168368,26.503261864185333,False
1998-05,1998,5,Primavera,Catalunya-Balears,1991-2000,-1.26,Negativa,5.442808533459903,50.11042892932892,False
1999-03,1999,3,Primavera,Catalunya-Balears,1991-2000,-0.72,Negativa,-11.363515412434936,31.4404319524765,False
2000-04,2000,4,Primavera,Catalunya-Balears,1991-2000,-3.34,Negativa,-8.800563901662827,41.358726024627686,False
2001-03,2001,3,Primavera,Catalunya-Balears,2001-2010,-0.68,Negativa,-15.882901346310971,26.921046018600464,False
2003-04,2003,4,Primavera,Catalunya-Balears,2001-2010,-1.74,Negativa,-12.616270869970322,37.54301905632019,False
2004-05,2004,5,Primavera,Catalunya-Balears,2001-2010,-0.67,Negativa,19.005437875539062,63.67305827140808,False
2005-03,2005,3,Primavera,Catalunya-Balears,2001-2010,-1.29,Negativa,-18.76285240612924,24.0410949587822,False
2006-03,2006,3,Primavera,Catalunya-Balears,2001-2010,-1.12,Negativa,-12.612392639741302,30.191554725170132,False
2008-04,2008,4,Primavera,Catalunya-Balears,2001-2010,-2.02,Negativa,-21.109744995832443,29.04954493045807,False
2008-05,2008,5,Primavera,Catalunya-Balears,2001-2010,-3.26,Negativa,69.62643172815442,114.29405212402344,False
2010-03,2010,3,Primavera,Catalunya-Balears,2001-2010,-0.8,Negativa,18.65785285271704,61.46180021762848,False
2010-04,2010,4,Primavera,Catalunya-Balears,2001-2010,-1.03,Negativa,-12.284803479909897,37.874486446380615,False
2010-05,2010,5,Primavera,Catalunya-Balears,2001-2010,-1.66,Negativa,41.42927458360791,86.09689497947693,False
2012-04,2012,4,Primavera,Catalunya-Balears,2011-2020,-2.36,Negativa,-2.824230283498764,47.33505964279175,False
2012-05,2012,5,Primavera,Catalunya-Balears,2011-2020,-0.83,Negativa,-16.360960399359463,28.306659996509552,False
2013-03,2013,3,Primavera,Catalunya-Balears,2011-2020,-3.75,Negativa,45.42855533398688,88.23250269889832,False
2016-04,2016,4,Primavera,Catalunya-Balears,2011-2020,-2.06,Negativa,7.669140011072159,57.82842993736267,False
2016-05,2016,5,Primavera,Catalunya-Balears,2011-2020,-0.83,Negativa,-8.08929238244891,36.578328013420105,False
2018-03,2018,3,Primavera,Catalunya-Balears,2011-2020,-1.12,Negativa,29.30513390339911,72.10908126831055,False
2020-04,2020,4,Primavera,Catalunya-Balears,2011-2020,-0.71,Negativa,61.40630713105202,111.56559705734252,False
1981-04,1981,4,Primavera,Golf del Lleó,1981-1990,-3.04,Negativa,-10.133929297327995,82.05051183700562,False
1982-04,1982,4,Primavera,Golf del Lleó,1981-1990,-0.99,Negativa,-48.17131166160107,44.013129472732544,False
1983-04,1983,4,Primavera,Golf del Lleó,1981-1990,-1.01,Negativa,48.27028508484364,140.45472621917725,False
1983-05,1983,5,Primavera,Golf del Lleó,1981-1990,-0.57,Negativa,31.75839501768351,120.42645573616028,False
1984-03,1984,3,Primavera,Golf del Lleó,1981-1990,-2.12,Negativa,23.395293849334124,92.42645287513731,False
1984-05,1984,5,Primavera,Golf del Lleó,1981-1990,-2.34,Negativa,78.77781063467265,167.4458713531494,False
1985-05,1985,5,Primavera,Golf del Lleó,1981-1990,-2.13,Negativa,43.17224222570658,131.84030294418335,False
1986-04,1986,4,Primavera,Golf del Lleó,1981-1990,-0.93,Negativa,87.09026093780994,179.27470207214355,False
1987-05,1987,5,Primavera,Golf del Lleó,1981-1990,-0.81,Negativa,-32.57641798108816,56.09164273738861,False
1988-04,1988,4,Primavera,Golf del Lleó,1981-1990,-2.39,Negativa,22.041828587651253,114.22626972198486,False
1988-05,1988,5,Primavera,Golf del Lleó,1981-1990,-1.24,Negativa,37.17719990164042,125.8452606201172,False
1990-05,1990,5,Primavera,Golf del Lleó,1981-1990,-1.19,Negativa,-1.154840408265585,87.51322031021118,False
1991-03,1991,3,Primavera,Golf del Lleó,1991-2000,-1.37,Negativa,49.77568258605898,118.80684161186218,False
1993-05,1993,5,Primavera,Golf del Lleó,1991-2000,-2.59,Negativa,1.9173000469803867,90.58536076545715,False
1994-05,1994,5,Primavera,Golf del Lleó,1991-2000,-1.43,Negativa,-3.6697973594069424,84.99826335906982,False
1995-04,1995,4,Primavera,Golf del Lleó,1991-2000,-1.81,Negativa,18.695182755589485,110.8796238899231,False
1996-03,1996,3,Primavera,Golf del Lleó,1991-2000,-2.57,Negativa,-5.456563336029646,63.57459568977356,False
1996-05,1996,5,Primavera,Golf del Lleó,1991-2000,-1.5,Negativa,-8.135048089921469,80.5330126285553,False
1997-04,1997,4,Primavera,Golf del Lleó,1991-2000,-0.97,Negativa,-63.262072250247,28.92236888408661,False
1997-05,1997,5,Primavera,Golf del Lleó,1991-2000,-1.35,Negativa,-23.384700952470297,65.28335976600647,False
1998-05,1998,5,Primavera,Golf del Lleó,1991-2000,-1.26,Negativa,-7.545336900651449,81.12272381782532,False
1999-03,1999,3,Primavera,Golf del Lleó,1991-2000,-0.72,Negativa,8.748811143264177,77.77997016906738,False
2000-04,2000,4,Primavera,Golf del Lleó,1991-2000,-3.34,Negativa,41.86946149170399,134.0539026260376,False
